text,confidence,target
"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",1.0,Yes
Fighting poverty and global warming in Africa [link],1.0,Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link],0.8786,Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link],1.0,Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],0.8087,Yes
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],1.0,Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],1.0,Yes
Migratory Birds' New Climate Change Strategy: Stay Home [link],1.0,Yes
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],1.0,Yes
"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",1.0,Yes
How do we solve this global warming thing? [link],0.9073,Yes
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link],1.0,Yes
Ecotone: #Climate change from a #population perspective [link],0.5488,Yes
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link],0.8823,Yes
Spring storm season starting a little late this year???  Must be global warming!,1.0,
"Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]",0.75,Yes
For #EarthDay Global warming could affect patient symptoms [link],1.0,Yes
"Wait here's an idea: it's natural climate change, not human induced global warming. [link]",0.6648,No
EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link],1.0,Yes
QUT researchers track climate change [link],0.5194,Yes
"Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]",1.0,Yes
"Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link]",1.0,Yes
"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]",1.0,Yes
"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw",1.0,Yes
@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun,0.8771,Yes
effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link],0.8887,Yes
It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html,0.5247,Yes
A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link],1.0,Yes
SCIENCE: Scientists explore the evolution of climate change [link],0.7749,Yes
"Eaarth: global warming is here to stay, how will we deal with it? [link]",1.0,Yes
Allergies Worse Than Ever? Blame Global Warming [link],1.0,Yes
@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot,0.8197,No
Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link],0.9183,No
the scientific community was scamed by global green  gov warming scam.,0.9336,No
I truly  Fat ASS Gore should get the Scam Artist Award of the decade with his Global Warming and Energy Credits worth close to Billion.,,
40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.,1.0,No
"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot",1.0,No
"One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link]",0.9174,No
"Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2",1.0,No
Air ban led by flawed computer models. Global warming come to mind? [link],,
Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!,0.8185,No
@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin,0.8892,No
"30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]",0.8427,No
"Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]",0.9368,No
computer forensics experts: are there still any idiots out there that belive global warming is true? [link],0.9318,No
Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link],1.0,No
"Despite Climategate, LEFT investing heavily in global warming hysteria as new way 2 impose nat'l & international controls on human freedom.",,
Global warming you tube explanation you will enjoy #IPCC #teaparty [link],0.8485,
Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link],0.7774,Yes
"Memo On The White House Correspondents Dinner: If You Want To Be Green, Report On Climate Change: I'd never be on... [link]",1.0,
Views on Global Warming Vary in Three Countries|(Angus Reid Global Monitor) - People in three countries hold .. [link],1.0,
"SCENARIOS-Challenges to California climate change law: Source: Reuters By Peter Henderson SAN FRANCISCO, April 26 ... [link]",0.9309,
"The Climate of Lindsay Graham's Support for Climate Change Legislation Has Changed: Today Lindsey Graham,... [link]",0.9319,
"Arizona's immigration law, climate change legislation stalling--Which issue should Congress focus on now? Poll: [link]",0.9132,
Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unveile... [link],0.8845,
US Climate change bill stalls in Senate [link],0.8442,
"Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]",0.6812,Yes
"cnnbrk: Sen. Graham's move imperils Dems' push for immigration, climate change bills. [link]",0.8253,
"Cafe Scientifique presents global warming talk, film|The April Cafe Scientifique presentation will be on the .. [link]",0.8264,
Check this video out -- The Business of Climate Change Conference 2009 [link],1.0,Yes
"Brilliant Tips For Valentine's Day : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip... [link]",1.0,
"USA: Climate Change Policy Update - April 12, 2010  [link]",0.9431,
-- Press Releases April 2010 - Climate change negotiators agree on intensified .. [link],0.8557,
@SooperMexican Global warming. Clearly.,0.6061,Yes
PostPartisan - Harry Reid's hapless play on immigration and climate change: [link],1.0,
Foes of California's global warming law pour money into a campaign to delay it [link],0.5198,
"Earth Day Live Chat with Carol Browner, Director of the Office of Energy and Climate Change Policy for the Obama Admin  [link]",0.8899,
"Klein: ""A '50-50' chance that the Senate passes a climate change bill this year?"" [link]",1.0,
@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.,0.5978,Yes
RT @redostoneage: NASAs changing Facts; Guess they thought you wouldnt notice #global warming #climate change #eco [link],0.3467,
A religious spin on climate change.[link],0.9514,
Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link],0.7971,Yes
